visitnumber;visitid;visitstarttime;date;totals;trafficsource;device;geonetwork;customdimensions;fullvisitorid;clientid;channelgrouping;socialengagementtype;pageviews
10;1639108627;2021-12-10 03:57:07;2021-12-10;{'visits': '1', 'hits': '28', 'pageviews': '11', 'timeonsite': '920', 'bounces': 'null', 'transactions': 'null', 'transactionrevenue': 'null', 'newvisits': 'null', 'screenviews': 'null', 'uniquescreenviews': 'null', 'timeonscreen': 'null', 'totaltransactionrevenue': 'null', 'sessionqualitydim': '29'};{'source': 'google', 'medium': 'organic', 'campaignid': 'null', 'adgroupid': 'null', 'creativeid': 'null', 'criteriaid': 'null', 'page': 'null', 'slot': 'null', 'criteriaparameters': 'null', 'gclid': 'null', 'customerid': 'null', 'adnetworktype': 'null', 'targetingcriteria': 'null', 'isvideoad': 'null', 'istruedirect': 'true', 'campaigncode': 'null'};{'browserversion': '92', 'browsersize': '390x690', 'operatingsystemversion': '10', 'ismobile': 'true', 'mobileinputselector': 'touchscreen', 'javaenabled': 'false', 'language': 'fr-fr', 'screencolors': '24-bit', 'screenresolution': '393x851', 'devicecategory': 'mobile'};{'cityid': '1006356', 'latitude': '43', 'longitude': '5'};{'index': '22', 'value': '0'};7.482065384705606e+18;1742054099.1637859714;organic search;Not Socially Engaged;11
6;1639108425;2021-12-10 03:53:45;2021-12-10;{'visits': '1', 'hits': '77', 'pageviews': '33', 'timeonsite': '1367', 'bounces': 'null', 'transactions': 'null', 'transactionrevenue': 'null', 'newvisits': 'null', 'screenviews': 'null', 'uniquescreenviews': 'null', 'timeonscreen': 'null', 'totaltransactionrevenue': 'null', 'sessionqualitydim': '36'};{'source': 'google', 'medium': 'organic', 'campaignid': 'null', 'adgroupid': 'null', 'creativeid': 'null', 'criteriaid': 'null', 'page': 'null', 'slot': 'null', 'criteriaparameters': 'null', 'gclid': 'null', 'customerid': 'null', 'adnetworktype': 'null', 'targetingcriteria': 'null', 'isvideoad': 'null', 'istruedirect': 'true', 'campaigncode': 'null'};{'browserversion': '96', 'browsersize': '360x670', 'operatingsystemversion': '10', 'ismobile': 'true', 'mobileinputselector': 'touchscreen', 'javaenabled': 'false', 'language': 'fr-fr', 'screencolors': '24-bit', 'screenresolution': '360x780', 'devicecategory': 'mobile'};{'cityid': '1006219', 'latitude': '43', 'longitude': '1'};{'index': '31', 'value': 'web'};6.700497623069561e+18;1560081174.1634275481;organic search;Not Socially Engaged;33
286;1639108777;2021-12-10 03:59:37;2021-12-10;{'visits': '1', 'hits': '3', 'pageviews': 'null', 'timeonsite': 'null', 'bounces': 'null', 'transactions': 'null', 'transactionrevenue': 'null', 'newvisits': 'null', 'screenviews': '1', 'uniquescreenviews': '1', 'timeonscreen': 'null', 'totaltransactionrevenue': 'null', 'sessionqualitydim': '2'};{'campaign': '146713545_20211209', 'source': 'email_ali', 'medium': 'slc', 'campaignid': 'null', 'adgroupid': 'null', 'creativeid': 'null', 'criteriaid': 'null', 'page': 'null', 'slot': 'null', 'criteriaparameters': 'null', 'gclid': 'null', 'customerid': 'null', 'adnetworktype': 'null', 'targetingcriteria': 'null', 'isvideoad': 'null', 'istruedirect': 'null', 'campaigncode': 'null'};{'browserversion': '3', 'operatingsystem': 'i', 'operatingsystemversion': '14', 'ismobile': 'true', 'mobiledevicemodel': 'i', 'mobileinputselector': 'touchscreen', 'javaenabled': 'true', 'language': 'fr-fr', 'screenresolution': '1242x2688', 'devicecategory': 'mobile'};{'cityid': '1006094', 'latitude': '48', 'longitude': '2'};{'index': '22', 'value': '0'};;4cca7f0b-d194-4009-bd58-71c7a62c6d8c;email;Not Socially Engaged;null
54;1639106992;2021-12-10 03:29:52;2021-12-10;{'visits': '1', 'hits': '3', 'pageviews': 'null', 'timeonsite': 'null', 'bounces': 'null', 'transactions': 'null', 'transactionrevenue': 'null', 'newvisits': 'null', 'screenviews': '1', 'uniquescreenviews': '1', 'timeonscreen': 'null', 'totaltransactionrevenue': 'null', 'sessionqualitydim': '2'};{'campaignid': 'null', 'adgroupid': 'null', 'creativeid': 'null', 'criteriaid': 'null', 'page': 'null', 'slot': 'null', 'criteriaparameters': 'null', 'gclid': 'null', 'customerid': 'null', 'adnetworktype': 'null', 'targetingcriteria': 'null', 'isvideoad': 'null', 'istruedirect': 'true', 'campaigncode': 'null'};{'browserversion': '3', 'operatingsystem': 'i', 'operatingsystemversion': '15', 'ismobile': 'true', 'mobiledevicemodel': 'i', 'mobileinputselector': 'touchscreen', 'javaenabled': 'true', 'language': 'fr-fr', 'screenresolution': '828x1792', 'devicecategory': 'mobile'};{'cityid': '1005811', 'latitude': '44', 'longitude': '-0'};{'index': '30', 'value': 'prod'};1.9905596669329065e+18;8a3b9c7d-c32e-48bb-8889-0994b52617f1;app (ali excluded);Not Socially Engaged;null
212;1639108721;2021-12-10 03:58:41;2021-12-10;{'visits': '1', 'hits': '3', 'pageviews': 'null', 'timeonsite': '1', 'bounces': 'null', 'transactions': 'null', 'transactionrevenue': 'null', 'newvisits': 'null', 'screenviews': '1', 'uniquescreenviews': '1', 'timeonscreen': 'null', 'totaltransactionrevenue': 'null', 'sessionqualitydim': '2'};{'campaign': '147608297_20211209', 'source': 'email_ali', 'medium': 'slc', 'campaignid': 'null', 'adgroupid': 'null', 'creativeid': 'null', 'criteriaid': 'null', 'page': 'null', 'slot': 'null', 'criteriaparameters': 'null', 'gclid': 'null', 'customerid': 'null', 'adnetworktype': 'null', 'targetingcriteria': 'null', 'isvideoad': 'null', 'istruedirect': 'null', 'campaigncode': 'null'};{'browserversion': '3', 'operatingsystem': 'i', 'operatingsystemversion': '14', 'ismobile': 'true', 'mobiledevicemodel': 'i', 'mobileinputselector': 'touchscreen', 'javaenabled': 'true', 'language': 'fr-fr', 'screenresolution': '2388x1668', 'devicecategory': 'tablet'};{'cityid': '9128538', 'latitude': '0', 'longitude': '0'};{'index': '30', 'value': 'prod'};;2721db25-5397-4192-80fa-47d2e5311891;email;Not Socially Engaged;null
122;1639108417;2021-12-10 03:53:37;2021-12-10;{'visits': '1', 'hits': '4', 'pageviews': 'null', 'timeonsite': '2', 'bounces': 'null', 'transactions': 'null', 'transactionrevenue': 'null', 'newvisits': 'null', 'screenviews': '1', 'uniquescreenviews': '1', 'timeonscreen': 'null', 'totaltransactionrevenue': 'null', 'sessionqualitydim': '2'};{'campaign': '146986594_20211209', 'source': 'email_ali', 'medium': 'slc', 'campaignid': 'null', 'adgroupid': 'null', 'creativeid': 'null', 'criteriaid': 'null', 'page': 'null', 'slot': 'null', 'criteriaparameters': 'null', 'gclid': 'null', 'customerid': 'null', 'adnetworktype': 'null', 'targetingcriteria': 'null', 'isvideoad': 'null', 'istruedirect': 'true', 'campaigncode': 'null'};{'browserversion': '3', 'operatingsystem': 'i', 'operatingsystemversion': '14', 'ismobile': 'true', 'mobiledevicemodel': 'i', 'mobileinputselector': 'touchscreen', 'javaenabled': 'true', 'language': 'fr-fr', 'screenresolution': '1284x2778', 'devicecategory': 'mobile'};{'cityid': '1006094', 'latitude': '48', 'longitude': '2'};{'index': '25', 'value': '1'};1.7390166090026906e+18;e3f9c54c-0a97-4410-80ee-e93711977ee4;email;Not Socially Engaged;null
178;1639107900;2021-12-10 03:45:00;2021-12-10;{'visits': '1', 'hits': '5', 'pageviews': 'null', 'timeonsite': '13', 'bounces': 'null', 'transactions': 'null', 'transactionrevenue': 'null', 'newvisits': 'null', 'screenviews': '2', 'uniquescreenviews': '2', 'timeonscreen': '13', 'totaltransactionrevenue': 'null', 'sessionqualitydim': '1'};{'campaignid': 'null', 'adgroupid': 'null', 'creativeid': 'null', 'criteriaid': 'null', 'page': 'null', 'slot': 'null', 'criteriaparameters': 'null', 'gclid': 'null', 'customerid': 'null', 'adnetworktype': 'null', 'targetingcriteria': 'null', 'isvideoad': 'null', 'istruedirect': 'true', 'campaigncode': 'null'};{'browserversion': '214', 'operatingsystemversion': '10', 'ismobile': 'true', 'mobileinputselector': 'touchscreen', 'javaenabled': 'true', 'language': 'fr-fr', 'screenresolution': '1080x2265', 'devicecategory': 'mobile'};{'cityid': '1006235', 'latitude': '50', 'longitude': '3'};{'index': '31', 'value': 'app'};6.683353087697094e+18;b38a39b2-affd-4db7-b47f-7b1178110342;app (ali excluded);Not Socially Engaged;null
98;1639105214;2021-12-10 03:00:14;2021-12-10;{'visits': '1', 'hits': '5', 'pageviews': 'null', 'timeonsite': '3', 'bounces': 'null', 'transactions': 'null', 'transactionrevenue': 'null', 'newvisits': 'null', 'screenviews': '2', 'uniquescreenviews': '2', 'timeonscreen': '2', 'totaltransactionrevenue': 'null', 'sessionqualitydim': '2'};{'campaign': '147665340_20211209', 'source': 'email_ali', 'medium': 'slc', 'campaignid': 'null', 'adgroupid': 'null', 'creativeid': 'null', 'criteriaid': 'null', 'page': 'null', 'slot': 'null', 'criteriaparameters': 'null', 'gclid': 'null', 'customerid': 'null', 'adnetworktype': 'null', 'targetingcriteria': 'null', 'isvideoad': 'null', 'istruedirect': 'null', 'campaigncode': 'null'};{'browserversion': '3', 'operatingsystem': 'i', 'operatingsystemversion': '15', 'ismobile': 'true', 'mobiledevicemodel': 'i', 'mobileinputselector': 'touchscreen', 'javaenabled': 'true', 'language': 'fr-fr', 'screenresolution': '828x1792', 'devicecategory': 'mobile'};{'cityid': '1006094', 'latitude': '48', 'longitude': '2'};{'index': '22', 'value': '1'};;e29b7f32-c452-464a-85c8-fdcd0c94e02c;email;Not Socially Engaged;null
478;1639106867;2021-12-10 03:27:47;2021-12-10;{'visits': '1', 'hits': '5', 'pageviews': 'null', 'timeonsite': '1', 'bounces': 'null', 'transactions': 'null', 'transactionrevenue': 'null', 'newvisits': 'null', 'screenviews': '1', 'uniquescreenviews': '1', 'timeonscreen': 'null', 'totaltransactionrevenue': 'null', 'sessionqualitydim': '2'};{'campaign': '109957035_20211201', 'source': 'email_ali', 'medium': 'slc', 'keyword': 'annclass_1', 'campaignid': 'null', 'adgroupid': 'null', 'creativeid': 'null', 'criteriaid': 'null', 'page': 'null', 'slot': 'null', 'criteriaparameters': 'null', 'gclid': 'null', 'customerid': 'null', 'adnetworktype': 'null', 'targetingcriteria': 'null', 'isvideoad': 'null', 'istruedirect': 'null', 'campaigncode': 'null'};{'browserversion': '214', 'operatingsystemversion': '10', 'ismobile': 'true', 'mobileinputselector': 'touchscreen', 'javaenabled': 'true', 'language': 'fr-fr', 'screenresolution': '1080x2158', 'devicecategory': 'mobile'};{'cityid': '1005997', 'latitude': '48', 'longitude': '3'};{'index': '31', 'value': 'app'};;8d60f28a-c3a8-420f-8696-596f09184672;email;Not Socially Engaged;null
213;1639108733;2021-12-10 03:58:53;2021-12-10;{'visits': '1', 'hits': '5', 'pageviews': 'null', 'timeonsite': '3', 'bounces': 'null', 'transactions': 'null', 'transactionrevenue': 'null', 'newvisits': 'null', 'screenviews': '2', 'uniquescreenviews': '2', 'timeonscreen': '3', 'totaltransactionrevenue': 'null', 'sessionqualitydim': '2'};{'campaign': '148313057_20211209', 'source': 'email_ali', 'medium': 'slc', 'campaignid': 'null', 'adgroupid': 'null', 'creativeid': 'null', 'criteriaid': 'null', 'page': 'null', 'slot': 'null', 'criteriaparameters': 'null', 'gclid': 'null', 'customerid': 'null', 'adnetworktype': 'null', 'targetingcriteria': 'null', 'isvideoad': 'null', 'istruedirect': 'null', 'campaigncode': 'null'};{'browserversion': '3', 'operatingsystem': 'i', 'operatingsystemversion': '14', 'ismobile': 'true', 'mobiledevicemodel': 'i', 'mobileinputselector': 'touchscreen', 'javaenabled': 'true', 'language': 'fr-fr', 'screenresolution': '2388x1668', 'devicecategory': 'tablet'};{'cityid': '9128538', 'latitude': '0', 'longitude': '0'};{'index': '30', 'value': 'prod'};;2721db25-5397-4192-80fa-47d2e5311891;email;Not Socially Engaged;null
