refuser_id,real_estate_alert_id,subscription_date,unsubscription_date,platform,distribution_type,estate_type,living_area_min,living_area_max,price_min,price_max,number_of_rooms,location_zipcodes,location_departement,gateway
1c5c0d68-88fe-4de6-bde8-9d81ee947e61,63546525,2021-10-18 22:06:02.000000,,LOGICIMMO,RENT,,50,1000,0,500,"{1,2,3,4,5}",{67600},,
688467ed-5182-4d46-8bd2-453a647e61ae,61895965,2021-04-28 09:24:51.000000,,LOGICIMMO,BUY,,0,1000,432000,648000,"{1,2,3,4,5}",{83310},,
45ee5f15-b505-41c5-8fa0-84864156432a,61065530,2021-01-30 19:43:36.000000,,LOGICIMMONEUF,NEWSELL,,,,,,"{1,2,3,4,5}",{06100},,
749f1325-1f06-4833-8601-4ae55dc0ba67,60855333,2021-01-07 15:35:59.000000,2021-05-10 16:52:45.000000,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",{88000},,
52ef6cdb-fd82-455e-a7c9-b8ee4c36532d,63604106,2021-10-26 14:12:31.000000,2021-10-28 16:58:07.000000,LOGICIMMO,BUY,,0,1000,0,250000,"{1,2,3,4,5}",,{30},
b7aa0297-336c-4146-a7e2-4eee67c5ae0b,62541827,2021-07-04 02:47:16.000000,,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",{92320},,
bf15e86a-e13d-42bd-b930-6d6560a1f773,60904247,2021-01-13 08:23:27.000000,2021-05-10 16:52:45.000000,LOGICIMMO,BUY,{YARD},0,10000,0,2000000000,"{1,2,3,4,5}",,,
9a225d93-26b4-4e29-a224-49a2bf141470,62398549,2021-06-18 19:40:03.000000,2021-07-13 20:23:33.000000,LOGICIMMO,BUY,,0,1000,0,480000,"{1,2,3,4,5}","{78340,78450}",,
066deccc-b1a1-452e-ae19-db62186ebe59,62745043,2021-07-25 09:58:21.000000,,LOGICIMMONEUF,NEWSELL,,,,,,"{1,2,3,4,5}",{01220},,
64e9fc60-e6ae-446c-86bd-3038cf4965cf,61963051,2021-05-04 10:55:30.000000,,LOGICIMMO,BUY,,65,1000,0,300000,"{1,2,3,4,5}","{13006,13007,13008}",,
